TITLE,AGE,YEAR,EPISODES,RUNTIME,TYPE,ORIGIN_COUNTRY,summary,RATING,genres,image_url
Lucifer,15,2016,93,42,tvSeries,United States,"Lucifer Morningstar, bored from his sulking life in hell, comes to live in Los Angeles. While there, he helps humanity with its miseries through his experience and telepathic abilities to bring people's deepest desires and thoughts out of them. While meeting with a Detective in his nightclub (Lux), a shootout involving him and the Detective leads him to become an LAPD consultant who tries to punish people for their crimes through law and justice. —ahmetkozan",8.1,"Crime,Drama,Fantasy",https://m.media-amazon.com/images/M/MV5BNzY1YjIxOGMtOTAyZC00YTcyLWFhMzQtZTJkYTljYzU0MGRlXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_FMjpg_UX1000_.jpg
Army of the Dead,18,2021,1,148,movie,United States,"With the abandoned, walled city of Las Vegas overrun with zombies, after a disastrous government fault, the billionaire casino magnate, Bly Tanaka, realises that he has left something in Sin City: $200 million to be more precise. For the time being, his mountains of cash are safe behind his impenetrable casino vault; however, the US President plans to nuke the entire city in less than 96 hours. Now, Tanaka is willing to pay $50 million to the decorated former mercenary, Scott Ward, and his hand-picked team to retrieve the money before the bomb obliterates the city. Indeed, this is a life-changing offer Scott cannot refuse; nevertheless, the rules have changed, and the horde of the walking undead seems to be more organised than they might have expected. But, time is running out. Can they return from Vegas in one piece and rich? —Nick Riganas",5.8,"Action,Crime,Horror",https://m.media-amazon.com/images/M/MV5BNGY0NzgzYzctYWQwMC00MzM2LThjNGMtZjFjMWUyNzg0ZmM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg
The Kominsky Method,18,2018,22,30,tvSeries,United States,"Michael Douglas plays an actor who made it big a long time ago and who now is an acting coach at his studio named after himself, ""The Kominsky Method."" His best friend and agent loses his wife to cancer, which leaves both of them questioning their existence as they struggle through choices and relationships, old and new. As Kominsky teaches a class to actors he meets a woman whom he has deep feelings for, but lacks the skills to make a relationship work. Meanwhile his agent struggles with the pain of his wife's death and a drug addicted daughter. Throughout the series it becomes clear that their advanced age has challenges that neither one knows how to overcome, and as they keep onboard this train of life, which is closer to death then ever before, they learn to navigate their way through pain and character growth and set backs.",8.2,"Comedy,Drama",https://m.media-amazon.com/images/M/MV5BMzA0YTNjOTAtNmVkZi00YjBkLTgyZDItOTFmMzQ0N2E4ZDNiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg
Friends,13+,1994,235,22,tvSeries,United States,"Ross Geller, Rachel Green, Monica Geller, Joey Tribbiani, Chandler Bing, and Phoebe Buffay are six 20 something year olds living in New York City. Over the course of 10 years and seasons, these friends go through family, love, drama, friendship, and comedy.",8.9,"Comedy,Romance",https://m.media-amazon.com/images/M/MV5BNDVkYjU0MzctMWRmZi00NTkxLTgwZWEtOWVhYjZlYjllYmU4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
Ragnarok,18,2020,12,45,tvSeries,Norway,"In the small fictional town of Edda coming of age people are forced to respond to climate changes. The ice caps are melting at a rate no one had anticipated. People go through long periods of drought. The winters are too warm. More and more frequently, people experience extreme cold bursts. In all ways extreme weather conditions. The world is changing, and some might claim that we're heading towards a new Ragnarok. Unless someone intervenes in time.",7.5,"Action,Drama,Fantasy",https://m.media-amazon.com/images/M/MV5BODM3NTZkZTUtYzEyYS00NjEyLTg2NjEtNDhlMjYwY2ZkNGUzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
StartUp,18,2016,30,44,tvSeries,United States,"Miami - A desperate banker needs to conceal stolen money. A Haitian-American gang lord wants to go legit. A Cuban-American hacker has an idea that will revolutionize the very future of money itself. Forced to work together, they unwittingly create their version of the American dream - organized crime 2.0.",8.0,"Crime,Thriller",https://m.media-amazon.com/images/M/MV5BMTAxNTIwNzE5MTJeQTJeQWpwZ15BbWU4MDE2NDQ2MTMy._V1_FMjpg_UX1000_.jpg
Grey's Anatomy,15+,2005,381,41,tvSeries,United States,"A medical based drama centered around Meredith Grey, an aspiring surgeon and daughter of one of the best surgeons, Dr. Ellis Grey. Throughout the series, Meredith goes through professional and personal challenges along with fellow surgeons at Seattle Grace Hospital.",7.5,"Drama,Romance",https://m.media-amazon.com/images/M/MV5BMjgwNGNkZGYtMWQyYS00YjEzLWFmZTctODUzYWMxOWJkNTAzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_FMjpg_UX1000_.jpg
Sweet Tooth,16,2021,8,\N,tvSeries,United States,A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,8.2,"Action,Adventure,Drama",https://m.media-amazon.com/images/M/MV5BOTk4ZDRhYzEtZWExNy00MjIyLTgyYmMtN2Y2MzA4YzZhZTZmXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_FMjpg_UX1000_.jpg
The Blacklist,16+,2013,175,43,tvSeries,United States,"A highly articulate, erudite and intelligent businessman and mastermind, ""Red"" Reddington, has allegedly been on the ""10 Most Wanted List"" of various U.S. law enforcement agencies for over 20 years. The legend is that Red is as elusive as he is clever, controlling a labyrinth of creative enterprises, coupled with uncanny ability to gather and finesse information at the drop of a hat. On the first day at FBI for a new female profiler fresh out of Quantico, Red offers to bandy wits with the FBI. Red promises to deliver various criminals and plots previously unknown to any branch of law enforcement... and all Red requests in return is to choose his muse. —LA-Lawyer",8.0,"Crime,Drama,Mystery",https://m.media-amazon.com/images/M/MV5BZDA1MzE3M2EtNTE4Ni00OGE4LWE1NjctYzFhMzA2NDgxMDIxXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_FMjpg_UX1000_.jpg
Jupiter's Legacy,18,2021,8,56,tvSeries,United States,"The first generation of superheroes kept the world safe for 90 years. Now the years are different, the world is changing and the enemies are getting stronger. It is time for the new generation of superheroes to accept the legacy of their fathers and to continue their work based on morality and justice. —Cinemoviez",6.8,"Action,Adventure,Drama",https://m.media-amazon.com/images/M/MV5BMDU4MWViOGItZGJjYi00YjczLTk1YmMtY2ZmNmY4YTllNDA0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_FMjpg_UX1000_.jpg
Dirty John,16,2018,16,44,tvSeries,United States,"Debra Newell (Connie Britton) has a seemingly perfect life: she's successful, beautiful and lives in one of California's most desirable coastal cities, Newport Beach. The only thing missing is love. So when she finally meets charming and handsome doctor John Meehan (Eric Bana), she's quickly swept into a whirlwind romance, much to the dismay of her daughters Terra (Julia Garner) and Veronica (Juno Temple). Their fast-tracked relationship creates tension between Debra and the girls, leaving them no choice but to investigate the stranger who has swept their mother off her feet. And with a fraught family history, the backstory of Debra and her mother Arlane (Jean Smart) provides insight into why she may have been so vulnerable to John in the first place. As Debra gets drawn deeper into his lies and sinister game of psychological manipulation, it results in horrific consequences for an entire family. —Bravo",7.2,"Crime,Drama",https://m.media-amazon.com/images/M/MV5BNmJhYTVjNzUtNjJiZi00MWFhLTg4MWUtMzNiMGEwMmVkYWY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
The Walking Dead,18+,2010,177,44,tvSeries,United States,"Sheriff Deputy Rick Grimes gets shot and falls into a coma. When awoken he finds himself in a Zombie Apocalypse. Not knowing what to do he sets out to find his family, after he's done that, he gets connected to a group to become the leader. He takes charge and tries to help this group of people survive, find a place to live and get them food. This show is all about survival, the risks and the things you'll have to do to survive. —jzirkle1",8.2,"Drama,Horror,Thriller",https://m.media-amazon.com/images/M/MV5BMTc5ZmM0OTQtNDY4MS00ZjMyLTgwYzgtOGY0Y2VlMWFmNDU0XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_FMjpg_UX1000_.jpg
Peaky Blinders,A,2013,36,60,tvSeries,United Kingdom,"Thomas Shelby and his brothers return to Birmingham after serving in the British Army during WWI. Shelby and the Peaky Blinders, the gang he is leader of, control the city of Birmingham But as Shelby's ambitions extend beyond Birmingham, he plans to build on the business empire he's created, and stop anyone who gets in his way.",8.8,"Crime,Drama",https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_FMjpg_UX1000_.jpg
